Género,Edad,Trabaja,Facultad,Horas al día en Cd. Universitaria,Jugo natural,Agua embotellada,Refresco,Café,Frappé,Smoothie,Licuado,Agua natural de fruta,Frecuencia de ir a un snack,Dinero gastado en el snack,Ha ido al snack de Filosofía ,Quiere snack 
Femenino,21,Si,FCQ,4,Me gusta,Me gusta,Me gusta,Me gusta poco,Me gusta,Me gusta mucho,Me gusta mas o menos,Me gusta mas o menos,mas de 2 veces,de 25 a 50,No,Si
Femenino,20,Si,Otra,5,Me gusta,Me gusta poco,Me gusta,No me gusta,No me gusta,Me gusta,Me gusta poco,Me gusta mas o menos,0 veces,de 0 a 25,Si,Si
Femenino,20,Si,FCQ,5,No me gusta,Me gusta,Me gusta mas o menos,Me gusta mas o menos,No me gusta,No me gusta,No me gusta,No me gusta,2 veces,de 50 a 75,No,Si
Femenino,21,Si,FCQ,3,Me gusta mucho,Me gusta mucho,Me gusta poco,Me gusta mas o menos,Me gusta mas o menos,Me gusta,Me gusta,Me gusta,2 veces,de 25 a 50,Si,Si
Femenino,18,Si,FCQ,5,Me gusta mucho,Me gusta mucho,No me gusta,Me gusta mas o menos,Me gusta mas o menos,Me gusta,Me gusta mucho,Me gusta mucho,mas de 2 veces,de 25 a 50,No,Si
Femenino,22,Si,FCQ,3,Me gusta mucho,Me gusta,Me gusta mas o menos,Me gusta,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mucho,1 vez,de 25 a 50,No,Si
Femenino,20,No,FCQ,6,Me gusta mucho,Me gusta mucho,Me gusta mas o menos,No me gusta,No me gusta,Me gusta mucho,Me gusta,Me gusta,0 veces,de 0 a 25,No,Si
Femenino,19,No,FCQ,8,Me gusta mas o menos,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta,Me gusta mas o menos,Me gusta poco,2 veces,de 25 a 50,No,Si
Femenino,19,No,FCQ,5,Me gusta mas o menos,Me gusta,Me gusta mas o menos,Me gusta poco,No me gusta,No me gusta,No me gusta,No me gusta,mas de 2 veces,de 50 a 75,Si,No
Femenino,22,No,FCQ,6,Me gusta mas o menos,Me gusta poco,Me gusta poco,No me gusta,No me gusta,No me gusta,No me gusta,No me gusta,2 veces,de 50 a 75,Si,Si
Femenino,18,No,FCQ,6,Me gusta,Me gusta mucho,Me gusta,Me gusta,Me gusta,Me gusta mucho,Me gusta mucho,Me gusta,2 veces,de 0 a 25,Si,Si
Femenino,20,No,FCQ,4,Me gusta,Me gusta mucho,Me gusta mucho,Me gusta poco,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mucho,1 vez,de 0 a 25,No,Si
Femenino,21,No,FCQ,10,No me gusta,Me gusta mucho,No me gusta,No me gusta,No me gusta,No me gusta,No me gusta,No me gusta,0 veces,de 0 a 25,Si,Si
Femenino,19,No,FCQ,7,Me gusta,No me gusta,Me gusta mas o menos,Me gusta poco,Me gusta,Me gusta mucho,Me gusta mas o menos,Me gusta mas o menos,mas de 2 veces,de 25 a 50,No,Si
