Estado,Municipio,Poblacion 0-2 M,Poblacion 3-4 M,Poblacion 5 M,Poblacion 6-7 M,Poblacion 8-11 M,Poblacion 12-14 M,Poblacion 15-17 M,Poblacion 18-24 M,Poblacion 25-29 M,Poblacion 30-49 M,Poblacion 50-59 M,Poblacion 60-64 M,Poblacion 65-69 M,Poblacion 70-130 M,Poblacion 0-2 H,Poblacion 3-4 H,Poblacion 5 H,Poblacion 6-7 H,Poblacion 8-11 H,Poblacion 12-14 H,Poblacion 15-17 H,Poblacion 18-24 H,Poblacion 25-29 H,Poblacion 30-49 H,Poblacion 50-59 H,Poblacion 60-64 H,Poblacion 65-69 H,Poblacion 70-130 H,Relacion H M,Relacion dep total,Relacion dep infantil,Relacion dep de vejez,Edad mediana,Conflictos,IM,GM
Aguascalientes,Aguascalientes,22038,15539,7892,16010,32206,23423,23947,52537,33467,114023,33819,11299,7863,14875,22835,16295,8225,16539,33466,23725,23913,51067,31044,100563,29906,9677,6753,10818,94.1,54.1,46.2,7.8,25,2,-1.68,Muy bajo
Aguascalientes,Asientos,1621,1010,529,1066,2206,1509,1535,3221,1766,5368,1342,497,373,920,1585,1069,567,1145,2341,1561,1594,2914,1557,5069,1281,479,369,965,98,70.8,60.9,9.9,21,0,-0.56,Bajo
Aguascalientes,Calvillo,1683,1154,582,1132,2402,1722,1874,3747,1901,6660,2133,815,622,1430,1750,1222,603,1175,2481,1894,1816,3148,1626,5835,1919,774,624,1358,94.1,67.7,55.2,12.5,23,0,-0.7,Bajo
Aguascalientes,Cosío,473,339,174,348,776,506,529,1025,579,1843,514,176,130,296,494,345,175,368,736,521,542,909,500,1686,466,161,128,290,95,68.3,58.9,9.5,22,0,-0.67,Bajo
Aguascalientes,Jesús María,3420,2439,1194,2390,4909,3221,3116,6390,4093,13544,2826,943,671,1159,3624,2499,1245,2559,4977,3269,3258,5953,3627,12572,2649,869,677,1133,97.2,65.8,59.7,6.1,22,0,-1.26,Muy bajo
Aguascalientes,Pabellón de Arteaga,1419,986,452,1040,1945,1387,1432,2878,1762,5263,1478,459,349,806,1408,913,489,988,1980,1366,1426,2741,1507,4628,1271,405,296,718,93,65.5,56.9,8.6,22,0,-1.13,Muy bajo
Aguascalientes,Rincón de Romos,1621,1126,608,1174,2244,1626,1684,3426,2026,6068,1606,567,409,873,1668,1199,588,1163,2412,1668,1791,3145,1717,5404,1558,487,385,853,95.9,66.6,58,8.6,22,0,-1.05,Bajo
Aguascalientes,San José de Gracia,286,180,91,217,398,304,352,562,330,1013,261,92,87,201,295,179,89,181,407,272,314,516,272,874,243,93,77,208,91.9,70.5,58.9,11.6,21,0,-0.74,Bajo
Aguascalientes,Tepezalá,680,416,237,464,961,726,713,1342,762,2321,618,242,184,400,677,461,248,464,987,626,712,1261,654,2086,584,216,206,415,95.4,70.8,60.4,10.5,21,0,-0.6,Bajo
Aguascalientes,El Llano,578,404,192,405,857,619,687,1238,712,2291,551,174,179,358,652,446,255,445,931,660,713,1164,644,2289,611,208,162,386,103.4,66.7,57.1,9.6,22,0,-0.61,Bajo
