Genero,Replica,Edad,Ha jugado,Tiempo
Hombre,1,10 a 14,Si,12.67
Hombre,2,10 a 14,Si,6.83
Hombre,1,15 a 19,Si,5.5
Hombre,2,15 a 19,Si,6.76
Hombre,1,20 a 24,Si,3.5
Hombre,2,20 a 24,Si,3.47
Hombre,1,25 a 29,Si,22.05
Hombre,2,25 a 29,Si,7.55
Hombre,1,10 a 14,No,25.17
Hombre,2,10 a 14,No,24.65
Hombre,1,15 a 19,No,9.45
Hombre,2,15 a 19,No,8.2
Hombre,1,20 a 24,No,8.2
Hombre,2,20 a 24,No,9.3
Hombre,1,25 a 29,No,11.85
Hombre,2,25 a 29,No,6.52
Mujer,1,10 a 14,Si,17.47
Mujer,2,10 a 14,Si,14.51
Mujer,1,15 a 19,Si,2.85
Mujer,2,15 a 19,Si,10.52
Mujer,1,20 a 24,Si,15.8
Mujer,2,20 a 24,Si,7.78
Mujer,1,25 a 29,Si,7.03
Mujer,2,25 a 29,Si,5.58
Mujer,1,10 a 14,No,20.83
Mujer,2,10 a 14,No,14.83
Mujer,1,15 a 19,No,8.2
Mujer,2,15 a 19,No,6.05
Mujer,1,20 a 24,No,21.95
Mujer,2,20 a 24,No,27.7
Mujer,1,25 a 29,No,16.18
Mujer,2,25 a 29,No,19.73
